Batch	TadpoleID	Rep	LR	video	LXtop	LYtop	LXbottom	LYbottom	RXtop	RYtop	RXbottom	RYbottom
1	649	1	R	example_video/MVI_1203.MP4	184	10	281	156	312	11	398	157
2	649	2	R	example_video/MVI_1226_1.MP4	184	9	282	156	311	7	399	154
3	649	3	R	example_video/MVI_1237_1.MP4	180	7	288	157	308	5	411	154
4	649	4	R	example_video/MVI_1245.MP4	185	3	282	146	313	2	400	147
5	649	5	R	example_video/MVI_1264.MP4	182	3	279	146	314	6	402	147
6	649	6	R	example_video/MVI_1285.MP4	186	4	283	148	311	3	401	149
7	650	1	L	example_video/MVI_1203.MP4	184	10	281	156	312	11	398	157
8	650	2	L	example_video/MVI_1226_1.MP4	184	9	282	156	311	7	399	154
9	650	3	L	example_video/MVI_1237_1.MP4	180	7	288	157	308	5	411	154
10	650	4	L	example_video/MVI_1245.MP4	185	3	282	146	313	2	400	147
11	650	5	L	example_video/MVI_1264.MP4	182	3	279	146	314	6	402	147
12	650	6	L	example_video/MVI_1285.MP4	186	4	283	148	311	3	401	149
